科目编码,科目名称,科目类别,余额方向,辅助核算,增值税专栏,说明
1001,库存现金,资产,借,,,
1002,银行存款,资产,借,,,
1121,应收票据,资产,借,客户,,
1122,应收账款,资产,借,客户,,
1123,预付账款,资产,借,供应商,,
1131,应收股利,资产,借,,,
1132,应收利息,资产,借,,,
1221,其他应收款,资产,借,人员/单位,,
1401,材料采购,资产,借,,,
1402,在途物资,资产,借,,,
1403,原材料,资产,借,,,
1405,库存商品,资产,借,"数量金额, 产品类别",,
1411,周转材料,资产,借,,,
1501,长期股权投资,资产,借,,,
1511,长期债券投资,资产,借,,,
1601,固定资产,资产,借,,,
1602,累计折旧,资产,贷,,,
1701,无形资产,资产,借,,,
1702,累计摊销,资产,贷,,,
1801,长期待摊费用,资产,借,,,
1901,待处理财产损溢,资产,借,,,
2001,短期借款,负债,贷,,,
2201,应付票据,负债,贷,供应商,,
2202,应付账款,负债,贷,供应商,,
2203,预收账款,负债,贷,客户,,
2211,应付职工薪酬,负债,贷,,,
2221,应交税费,负债,贷,,多栏账,下设应交增值税、未交增值税等
222101,应交增值税,负债,贷,,进项/销项/已交/转出,二级科目
2231,应付利息,负债,贷,,,
2232,应付利润,负债,贷,,,
2241,其他应付款,负债,贷,人员/单位,,
2401,递延收益,负债,贷,,,
2501,长期借款,负债,贷,,,
3001,实收资本,权益,贷,股东,,
3002,资本公积,权益,贷,,,
3101,盈余公积,权益,贷,,,
3103,本年利润,权益,贷,,,
3104,利润分配,权益,借,,,
5001,主营业务收入,损益,贷,"产品类别, 客户",,
5002,其他业务收入,损益,贷,,,
5003,投资收益,损益,贷,,,
5101,主营业务成本,损益,借,,,
5102,其他业务成本,损益,借,,,
5401,主营业务税金及附加,损益,借,,,
5601,销售费用,损益,借,部门,,
5602,管理费用,损益,借,部门,,
5603,财务费用,损益,借,,,
5301,营业外收入,损益,贷,,,
5711,营业外支出,损益,借,,,
5801,所得税费用,损益,借,,,
4001,生产成本,成本,借,产品/工序,,制造业核心科目
4101,制造费用,成本,借,部门,,制造业核心科目
